ID	tip_grafa	stevilo_vseh_vozlisc	stevilo_sredisc	V_celica_id_vozlisce	V_celica_moc
0	2dmreze	64	8	0	7
1	2dmreze	64	8	1	11
2	2dmreze	64	8	2	13
3	2dmreze	64	8	3	6
4	2dmreze	64	8	4	10
5	2dmreze	64	8	5	11
6	2dmreze	64	8	6	10
7	2dmreze	64	8	7	11
8	2dmreze	64	8	0	7
9	2dmreze	64	8	1	11
10	2dmreze	64	8	2	6
11	2dmreze	64	8	3	12
12	2dmreze	64	8	4	12
13	2dmreze	64	8	5	10
14	2dmreze	64	8	6	10
15	2dmreze	64	8	7	5
16	2dmreze	64	8	0	13
17	2dmreze	64	8	1	9
18	2dmreze	64	8	2	5
19	2dmreze	64	8	3	10
20	2dmreze	64	8	4	15
21	2dmreze	64	8	5	7
22	2dmreze	64	8	6	9
23	2dmreze	64	8	7	6
24	2dmreze	64	8	0	12
25	2dmreze	64	8	1	11
26	2dmreze	64	8	2	7
27	2dmreze	64	8	3	11
28	2dmreze	64	8	4	10
29	2dmreze	64	8	5	4
30	2dmreze	64	8	6	11
31	2dmreze	64	8	7	7
32	2dmreze	64	8	0	27
33	2dmreze	64	8	1	4
34	2dmreze	64	8	2	2
35	2dmreze	64	8	3	2
36	2dmreze	64	8	4	6
37	2dmreze	64	8	5	19
38	2dmreze	64	8	6	9
39	2dmreze	64	8	7	8
40	2dmreze	64	8	0	5
41	2dmreze	64	8	1	6
42	2dmreze	64	8	2	14
43	2dmreze	64	8	3	12
44	2dmreze	64	8	4	9
45	2dmreze	64	8	5	5
46	2dmreze	64	8	6	10
47	2dmreze	64	8	7	18
48	2dmreze	64	8	0	7
49	2dmreze	64	8	1	5
50	2dmreze	64	8	2	12
51	2dmreze	64	8	3	11
52	2dmreze	64	8	4	15
53	2dmreze	64	8	5	7
54	2dmreze	64	8	6	6
55	2dmreze	64	8	7	11
56	2dmreze	64	8	0	5
57	2dmreze	64	8	1	17
58	2dmreze	64	8	2	18
59	2dmreze	64	8	3	13
60	2dmreze	64	8	4	13
61	2dmreze	64	8	5	19
62	2dmreze	64	8	6	10
63	2dmreze	64	8	7	7
64	2dmreze	64	8	0	1
65	2dmreze	64	8	1	10
