ID	tip_grafa	stevilo_vseh_vozlisc	stevilo_sredisc	V_celica_id_vozlisce	V_celica_moc
0	inf2dmreze	64	8	0	3
1	inf2dmreze	64	8	1	13
2	inf2dmreze	64	8	2	4
3	inf2dmreze	64	8	3	15
4	inf2dmreze	64	8	4	18
5	inf2dmreze	64	8	5	14
6	inf2dmreze	64	8	6	10
7	inf2dmreze	64	8	7	20
8	inf2dmreze	64	8	0	16
9	inf2dmreze	64	8	1	6
10	inf2dmreze	64	8	2	13
11	inf2dmreze	64	8	3	5
12	inf2dmreze	64	8	4	10
13	inf2dmreze	64	8	5	9
14	inf2dmreze	64	8	6	14
15	inf2dmreze	64	8	7	11
16	inf2dmreze	64	8	0	4
17	inf2dmreze	64	8	1	5
18	inf2dmreze	64	8	2	5
19	inf2dmreze	64	8	3	19
20	inf2dmreze	64	8	4	16
21	inf2dmreze	64	8	5	5
22	inf2dmreze	64	8	6	12
23	inf2dmreze	64	8	7	16
24	inf2dmreze	64	8	0	9
25	inf2dmreze	64	8	1	17
26	inf2dmreze	64	8	2	9
27	inf2dmreze	64	8	3	9
28	inf2dmreze	64	8	4	15
29	inf2dmreze	64	8	5	6
30	inf2dmreze	64	8	6	9
31	inf2dmreze	64	8	7	13
32	inf2dmreze	64	8	0	7
33	inf2dmreze	64	8	1	14
34	inf2dmreze	64	8	2	5
35	inf2dmreze	64	8	3	10
36	inf2dmreze	64	8	4	9
37	inf2dmreze	64	8	5	10
38	inf2dmreze	64	8	6	10
39	inf2dmreze	64	8	7	7
40	inf2dmreze	64	8	0	8
41	inf2dmreze	64	8	1	14
42	inf2dmreze	64	8	2	10
43	inf2dmreze	64	8	3	11
44	inf2dmreze	64	8	4	18
45	inf2dmreze	64	8	5	14
46	inf2dmreze	64	8	6	10
47	inf2dmreze	64	8	7	14
48	inf2dmreze	64	8	0	8
49	inf2dmreze	64	8	1	9
50	inf2dmreze	64	8	2	8
51	inf2dmreze	64	8	3	8
52	inf2dmreze	64	8	4	6
53	inf2dmreze	64	8	5	7
54	inf2dmreze	64	8	6	13
55	inf2dmreze	64	8	7	8
56	inf2dmreze	64	8	0	8
57	inf2dmreze	64	8	1	4
58	inf2dmreze	64	8	2	14
59	inf2dmreze	64	8	3	14
60	inf2dmreze	64	8	4	7
61	inf2dmreze	64	8	5	11
62	inf2dmreze	64	8	6	13
63	inf2dmreze	64	8	7	6
64	inf2dmreze	64	8	0	8
65	inf2dmreze	64	8	1	12
66	inf2dmreze	64	8	2	7
67	inf2dmreze	64	8	3	7
68	inf2dmreze	64	8	4	4
69	inf2dmreze	64	8	5	10
70	inf2dmreze	64	8	6	11
71	inf2dmreze	64	8	7	13
72	inf2dmreze	64	8	0	9
73	inf2dmreze	64	8	1	9
74	inf2dmreze	64	8	2	13
75	inf2dmreze	64	8	3	9
76	inf2dmreze	64	8	4	8
77	inf2dmreze	64	8	5	3
78	inf2dmreze	64	8	6	7
79	inf2dmreze	64	8	7	13
80	inf2dmreze	64	8	0	11
81	inf2dmreze	64	8	1	10
82	inf2dmreze	64	8	2	12
83	inf2dmreze	64	8	3	14
84	inf2dmreze	64	8	4	12
85	inf2dmreze	64	8	5	12
86	inf2dmreze	64	8	6	9
87	inf2dmreze	64	8	7	9
88	inf2dmreze	64	8	0	11
89	inf2dmreze	64	8	1	13
90	inf2dmreze	64	8	2	7
91	inf2dmreze	64	8	3	12
92	inf2dmreze	64	8	4	18
93	inf2dmreze	64	8	5	5
94	inf2dmreze	64	8	6	6
95	inf2dmreze	64	8	7	8
96	inf2dmreze	64	8	0	11
97	inf2dmreze	64	8	1	6
98	inf2dmreze	64	8	2	12
99	inf2dmreze	64	8	3	9
100	inf2dmreze	64	8	4	13
101	inf2dmreze	64	8	5	12
102	inf2dmreze	64	8	6	6
103	inf2dmreze	64	8	7	11
104	inf2dmreze	64	8	0	13
105	inf2dmreze	64	8	1	8
106	inf2dmreze	64	8	2	8
107	inf2dmreze	64	8	3	8
108	inf2dmreze	64	8	4	10
109	inf2dmreze	64	8	5	15
110	inf2dmreze	64	8	6	8
111	inf2dmreze	64	8	7	5
112	inf2dmreze	64	8	0	13
113	inf2dmreze	64	8	1	8
114	inf2dmreze	64	8	2	7
115	inf2dmreze	64	8	3	11
116	inf2dmreze	64	8	4	7
117	inf2dmreze	64	8	5	12
118	inf2dmreze	64	8	6	8
119	inf2dmreze	64	8	7	7
120	inf2dmreze	64	8	0	9
121	inf2dmreze	64	8	1	10
122	inf2dmreze	64	8	2	8
123	inf2dmreze	64	8	3	15
124	inf2dmreze	64	8	4	10
125	inf2dmreze	64	8	5	12
126	inf2dmreze	64	8	6	7
127	inf2dmreze	64	8	7	13
128	inf2dmreze	64	8	0	8
129	inf2dmreze	64	8	1	11
130	inf2dmreze	64	8	2	7
131	inf2dmreze	64	8	3	12
132	inf2dmreze	64	8	4	10
133	inf2dmreze	64	8	5	13
134	inf2dmreze	64	8	6	14
135	inf2dmreze	64	8	7	5
136	inf2dmreze	64	8	0	7
137	inf2dmreze	64	8	1	10
138	inf2dmreze	64	8	2	6
139	inf2dmreze	64	8	3	11
140	inf2dmreze	64	8	4	12
141	inf2dmreze	64	8	5	10
142	inf2dmreze	64	8	6	8
143	inf2dmreze	64	8	7	13
144	inf2dmreze	64	8	0	12
145	inf2dmreze	64	8	1	8
146	inf2dmreze	64	8	2	14
147	inf2dmreze	64	8	3	18
148	inf2dmreze	64	8	4	7
149	inf2dmreze	64	8	5	15
150	inf2dmreze	64	8	6	13
151	inf2dmreze	64	8	7	10
152	inf2dmreze	64	8	0	14
153	inf2dmreze	64	8	1	6
154	inf2dmreze	64	8	2	16
155	inf2dmreze	64	8	3	7
156	inf2dmreze	64	8	4	14
157	inf2dmreze	64	8	5	5
158	inf2dmreze	64	8	6	11
159	inf2dmreze	64	8	7	9
160	inf2dmreze	64	8	0	7
161	inf2dmreze	64	8	1	12
162	inf2dmreze	64	8	2	12
163	inf2dmreze	64	8	3	4
164	inf2dmreze	64	8	4	14
165	inf2dmreze	64	8	5	22
166	inf2dmreze	64	8	6	16
167	inf2dmreze	64	8	7	10
168	inf2dmreze	64	8	0	11
169	inf2dmreze	64	8	1	12
170	inf2dmreze	64	8	2	13
171	inf2dmreze	64	8	3	5
172	inf2dmreze	64	8	4	7
173	inf2dmreze	64	8	5	10
174	inf2dmreze	64	8	6	17
175	inf2dmreze	64	8	7	6
176	inf2dmreze	64	8	0	4
177	inf2dmreze	64	8	1	6
178	inf2dmreze	64	8	2	14
179	inf2dmreze	64	8	3	14
180	inf2dmreze	64	8	4	11
181	inf2dmreze	64	8	5	12
182	inf2dmreze	64	8	6	12
183	inf2dmreze	64	8	7	5
184	inf2dmreze	64	8	0	12
185	inf2dmreze	64	8	1	20
186	inf2dmreze	64	8	2	4
187	inf2dmreze	64	8	3	16
188	inf2dmreze	64	8	4	13
189	inf2dmreze	64	8	5	9
190	inf2dmreze	64	8	6	14
191	inf2dmreze	64	8	7	6
192	inf2dmreze	64	8	0	4
193	inf2dmreze	64	8	1	8
194	inf2dmreze	64	8	2	9
195	inf2dmreze	64	8	3	13
196	inf2dmreze	64	8	4	16
197	inf2dmreze	64	8	5	8
198	inf2dmreze	64	8	6	8
199	inf2dmreze	64	8	7	8
200	inf2dmreze	64	8	0	11
201	inf2dmreze	64	8	1	18
202	inf2dmreze	64	8	2	11
203	inf2dmreze	64	8	3	13
204	inf2dmreze	64	8	4	11
205	inf2dmreze	64	8	5	11
206	inf2dmreze	64	8	6	13
207	inf2dmreze	64	8	7	11
208	inf2dmreze	64	8	0	12
209	inf2dmreze	64	8	1	10
210	inf2dmreze	64	8	2	12
211	inf2dmreze	64	8	3	15
212	inf2dmreze	64	8	4	10
213	inf2dmreze	64	8	5	12
214	inf2dmreze	64	8	6	6
215	inf2dmreze	64	8	7	7
216	inf2dmreze	64	8	0	15
217	inf2dmreze	64	8	1	8
218	inf2dmreze	64	8	2	11
219	inf2dmreze	64	8	3	10
220	inf2dmreze	64	8	4	5
221	inf2dmreze	64	8	5	10
222	inf2dmreze	64	8	6	12
223	inf2dmreze	64	8	7	9
224	inf2dmreze	64	8	0	11
225	inf2dmreze	64	8	1	6
226	inf2dmreze	64	8	2	14
227	inf2dmreze	64	8	3	9
228	inf2dmreze	64	8	4	12
229	inf2dmreze	64	8	5	11
230	inf2dmreze	64	8	6	12
231	inf2dmreze	64	8	7	12
232	inf2dmreze	64	8	0	13
233	inf2dmreze	64	8	1	10
234	inf2dmreze	64	8	2	5
235	inf2dmreze	64	8	3	5
236	inf2dmreze	64	8	4	12
237	inf2dmreze	64	8	5	8
238	inf2dmreze	64	8	6	9
239	inf2dmreze	64	8	7	11
240	inf2dmreze	64	8	0	11
241	inf2dmreze	64	8	1	9
242	inf2dmreze	64	8	2	8
243	inf2dmreze	64	8	3	11
244	inf2dmreze	64	8	4	9
245	inf2dmreze	64	8	5	11
246	inf2dmreze	64	8	6	13
247	inf2dmreze	64	8	7	12
248	inf2dmreze	64	8	0	6
249	inf2dmreze	64	8	1	7
250	inf2dmreze	64	8	2	14
251	inf2dmreze	64	8	3	15
252	inf2dmreze	64	8	4	8
253	inf2dmreze	64	8	5	6
254	inf2dmreze	64	8	6	5
255	inf2dmreze	64	8	7	14
256	inf2dmreze	64	8	0	14
257	inf2dmreze	64	8	1	7
258	inf2dmreze	64	8	2	9
259	inf2dmreze	64	8	3	15
260	inf2dmreze	64	8	4	10
261	inf2dmreze	64	8	5	11
262	inf2dmreze	64	8	6	13
263	inf2dmreze	64	8	7	8
264	inf2dmreze	64	8	0	11
265	inf2dmreze	64	8	1	7
266	inf2dmreze	64	8	2	11
267	inf2dmreze	64	8	3	11
268	inf2dmreze	64	8	4	8
269	inf2dmreze	64	8	5	5
270	inf2dmreze	64	8	6	11
271	inf2dmreze	64	8	7	13
272	inf2dmreze	64	8	0	7
273	inf2dmreze	64	8	1	7
274	inf2dmreze	64	8	2	7
275	inf2dmreze	64	8	3	7
276	inf2dmreze	64	8	4	19
277	inf2dmreze	64	8	5	11
278	inf2dmreze	64	8	6	16
279	inf2dmreze	64	8	7	11
280	inf2dmreze	64	8	0	9
281	inf2dmreze	64	8	1	14
282	inf2dmreze	64	8	2	13
283	inf2dmreze	64	8	3	11
284	inf2dmreze	64	8	4	14
285	inf2dmreze	64	8	5	15
286	inf2dmreze	64	8	6	10
287	inf2dmreze	64	8	7	3
288	inf2dmreze	64	8	0	7
289	inf2dmreze	64	8	1	6
290	inf2dmreze	64	8	2	9
291	inf2dmreze	64	8	3	20
292	inf2dmreze	64	8	4	15
293	inf2dmreze	64	8	5	5
294	inf2dmreze	64	8	6	10
295	inf2dmreze	64	8	7	9
296	inf2dmreze	64	8	0	5
297	inf2dmreze	64	8	1	8
298	inf2dmreze	64	8	2	15
299	inf2dmreze	64	8	3	15
300	inf2dmreze	64	8	4	12
301	inf2dmreze	64	8	5	13
302	inf2dmreze	64	8	6	11
303	inf2dmreze	64	8	7	9
304	inf2dmreze	64	8	0	4
305	inf2dmreze	64	8	1	7
306	inf2dmreze	64	8	2	13
307	inf2dmreze	64	8	3	10
308	inf2dmreze	64	8	4	12
309	inf2dmreze	64	8	5	11
310	inf2dmreze	64	8	6	12
311	inf2dmreze	64	8	7	8
312	inf2dmreze	64	8	0	9
313	inf2dmreze	64	8	1	9
314	inf2dmreze	64	8	2	10
315	inf2dmreze	64	8	3	9
316	inf2dmreze	64	8	4	8
317	inf2dmreze	64	8	5	8
318	inf2dmreze	64	8	6	9
319	inf2dmreze	64	8	7	9
320	inf2dmreze	64	8	0	5
321	inf2dmreze	64	8	1	10
322	inf2dmreze	64	8	2	7
323	inf2dmreze	64	8	3	12
324	inf2dmreze	64	8	4	14
325	inf2dmreze	64	8	5	16
326	inf2dmreze	64	8	6	12
327	inf2dmreze	64	8	7	7
328	inf2dmreze	64	8	0	13
329	inf2dmreze	64	8	1	11
330	inf2dmreze	64	8	2	9
331	inf2dmreze	64	8	3	8
332	inf2dmreze	64	8	4	6
333	inf2dmreze	64	8	5	12
334	inf2dmreze	64	8	6	5
335	inf2dmreze	64	8	7	12
336	inf2dmreze	64	8	0	10
337	inf2dmreze	64	8	1	8
338	inf2dmreze	64	8	2	11
339	inf2dmreze	64	8	3	12
340	inf2dmreze	64	8	4	10
341	inf2dmreze	64	8	5	8
342	inf2dmreze	64	8	6	10
343	inf2dmreze	64	8	7	9
344	inf2dmreze	64	8	0	12
345	inf2dmreze	64	8	1	15
346	inf2dmreze	64	8	2	8
347	inf2dmreze	64	8	3	17
348	inf2dmreze	64	8	4	10
349	inf2dmreze	64	8	5	5
350	inf2dmreze	64	8	6	11
351	inf2dmreze	64	8	7	11
352	inf2dmreze	64	8	0	9
353	inf2dmreze	64	8	1	7
354	inf2dmreze	64	8	2	14
355	inf2dmreze	64	8	3	9
356	inf2dmreze	64	8	4	7
357	inf2dmreze	64	8	5	11
358	inf2dmreze	64	8	6	7
359	inf2dmreze	64	8	7	5
360	inf2dmreze	64	8	0	15
361	inf2dmreze	64	8	1	10
362	inf2dmreze	64	8	2	8
363	inf2dmreze	64	8	3	13
364	inf2dmreze	64	8	4	10
365	inf2dmreze	64	8	5	5
366	inf2dmreze	64	8	6	15
367	inf2dmreze	64	8	7	12
368	inf2dmreze	64	8	0	5
369	inf2dmreze	64	8	1	16
370	inf2dmreze	64	8	2	5
371	inf2dmreze	64	8	3	14
372	inf2dmreze	64	8	4	9
373	inf2dmreze	64	8	5	12
374	inf2dmreze	64	8	6	8
375	inf2dmreze	64	8	7	11
376	inf2dmreze	64	8	0	12
377	inf2dmreze	64	8	1	10
378	inf2dmreze	64	8	2	11
379	inf2dmreze	64	8	3	6
380	inf2dmreze	64	8	4	4
381	inf2dmreze	64	8	5	10
382	inf2dmreze	64	8	6	10
383	inf2dmreze	64	8	7	12
384	inf2dmreze	64	8	0	8
385	inf2dmreze	64	8	1	10
386	inf2dmreze	64	8	2	7
387	inf2dmreze	64	8	3	11
388	inf2dmreze	64	8	4	9
389	inf2dmreze	64	8	5	13
390	inf2dmreze	64	8	6	15
391	inf2dmreze	64	8	7	12
392	inf2dmreze	64	8	0	13
393	inf2dmreze	64	8	1	14
394	inf2dmreze	64	8	2	8
395	inf2dmreze	64	8	3	7
396	inf2dmreze	64	8	4	10
397	inf2dmreze	64	8	5	13
398	inf2dmreze	64	8	6	7
399	inf2dmreze	64	8	7	13
400	inf2dmreze	64	8	0	8
401	inf2dmreze	64	8	1	13
402	inf2dmreze	64	8	2	15
403	inf2dmreze	64	8	3	2
404	inf2dmreze	64	8	4	15
405	inf2dmreze	64	8	5	10
406	inf2dmreze	64	8	6	9
407	inf2dmreze	64	8	7	12
408	inf2dmreze	64	8	0	4
409	inf2dmreze	64	8	1	18
410	inf2dmreze	64	8	2	9
411	inf2dmreze	64	8	3	6
412	inf2dmreze	64	8	4	15
413	inf2dmreze	64	8	5	7
414	inf2dmreze	64	8	6	9
415	inf2dmreze	64	8	7	12
416	inf2dmreze	64	8	0	8
417	inf2dmreze	64	8	1	11
418	inf2dmreze	64	8	2	7
419	inf2dmreze	64	8	3	10
420	inf2dmreze	64	8	4	10
421	inf2dmreze	64	8	5	6
422	inf2dmreze	64	8	6	8
423	inf2dmreze	64	8	7	6
424	inf2dmreze	64	8	0	8
425	inf2dmreze	64	8	1	6
426	inf2dmreze	64	8	2	8
427	inf2dmreze	64	8	3	7
428	inf2dmreze	64	8	4	17
429	inf2dmreze	64	8	5	15
430	inf2dmreze	64	8	6	15
431	inf2dmreze	64	8	7	8
432	inf2dmreze	64	8	0	9
433	inf2dmreze	64	8	1	8
434	inf2dmreze	64	8	2	8
435	inf2dmreze	64	8	3	14
436	inf2dmreze	64	8	4	9
437	inf2dmreze	64	8	5	7
438	inf2dmreze	64	8	6	13
439	inf2dmreze	64	8	7	13
440	inf2dmreze	64	8	0	8
441	inf2dmreze	64	8	1	8
442	inf2dmreze	64	8	2	13
443	inf2dmreze	64	8	3	9
444	inf2dmreze	64	8	4	10
445	inf2dmreze	64	8	5	12
446	inf2dmreze	64	8	6	13
447	inf2dmreze	64	8	7	11
448	inf2dmreze	64	8	0	10
449	inf2dmreze	64	8	1	5
450	inf2dmreze	64	8	2	12
451	inf2dmreze	64	8	3	5
452	inf2dmreze	64	8	4	15
453	inf2dmreze	64	8	5	10
454	inf2dmreze	64	8	6	12
455	inf2dmreze	64	8	7	11
456	inf2dmreze	64	8	0	14
457	inf2dmreze	64	8	1	4
458	inf2dmreze	64	8	2	9
459	inf2dmreze	64	8	3	7
460	inf2dmreze	64	8	4	12
461	inf2dmreze	64	8	5	17
462	inf2dmreze	64	8	6	6
463	inf2dmreze	64	8	7	15
464	inf2dmreze	64	8	0	13
465	inf2dmreze	64	8	1	10
466	inf2dmreze	64	8	2	12
467	inf2dmreze	64	8	3	10
468	inf2dmreze	64	8	4	11
469	inf2dmreze	64	8	5	11
470	inf2dmreze	64	8	6	15
471	inf2dmreze	64	8	7	14
472	inf2dmreze	64	8	0	10
473	inf2dmreze	64	8	1	12
474	inf2dmreze	64	8	2	14
475	inf2dmreze	64	8	3	14
476	inf2dmreze	64	8	4	15
477	inf2dmreze	64	8	5	6
478	inf2dmreze	64	8	6	16
479	inf2dmreze	64	8	7	5
480	inf2dmreze	64	8	0	9
481	inf2dmreze	64	8	1	7
482	inf2dmreze	64	8	2	12
483	inf2dmreze	64	8	3	5
484	inf2dmreze	64	8	4	8
485	inf2dmreze	64	8	5	15
486	inf2dmreze	64	8	6	12
487	inf2dmreze	64	8	7	11
488	inf2dmreze	64	8	0	11
489	inf2dmreze	64	8	1	16
490	inf2dmreze	64	8	2	14
491	inf2dmreze	64	8	3	6
492	inf2dmreze	64	8	4	10
493	inf2dmreze	64	8	5	11
494	inf2dmreze	64	8	6	9
495	inf2dmreze	64	8	7	18
496	inf2dmreze	64	8	0	7
497	inf2dmreze	64	8	1	9
498	inf2dmreze	64	8	2	4
499	inf2dmreze	64	8	3	15
500	inf2dmreze	64	8	4	8
501	inf2dmreze	64	8	5	14
502	inf2dmreze	64	8	6	7
503	inf2dmreze	64	8	7	14
504	inf2dmreze	64	8	0	10
505	inf2dmreze	64	8	1	13
506	inf2dmreze	64	8	2	17
507	inf2dmreze	64	8	3	12
508	inf2dmreze	64	8	4	11
509	inf2dmreze	64	8	5	6
510	inf2dmreze	64	8	6	10
511	inf2dmreze	64	8	7	15
512	inf2dmreze	64	8	0	7
513	inf2dmreze	64	8	1	12
514	inf2dmreze	64	8	2	14
515	inf2dmreze	64	8	3	16
516	inf2dmreze	64	8	4	11
517	inf2dmreze	64	8	5	8
518	inf2dmreze	64	8	6	9
519	inf2dmreze	64	8	7	12
520	inf2dmreze	64	8	0	10
521	inf2dmreze	64	8	1	12
522	inf2dmreze	64	8	2	15
523	inf2dmreze	64	8	3	5
524	inf2dmreze	64	8	4	16
525	inf2dmreze	64	8	5	10
526	inf2dmreze	64	8	6	14
527	inf2dmreze	64	8	7	17
528	inf2dmreze	64	8	0	12
529	inf2dmreze	64	8	1	13
530	inf2dmreze	64	8	2	10
531	inf2dmreze	64	8	3	13
532	inf2dmreze	64	8	4	5
533	inf2dmreze	64	8	5	8
534	inf2dmreze	64	8	6	9
535	inf2dmreze	64	8	7	16
536	inf2dmreze	64	8	0	6
537	inf2dmreze	64	8	1	8
538	inf2dmreze	64	8	2	10
539	inf2dmreze	64	8	3	12
540	inf2dmreze	64	8	4	14
541	inf2dmreze	64	8	5	11
542	inf2dmreze	64	8	6	9
543	inf2dmreze	64	8	7	13
544	inf2dmreze	64	8	0	5
545	inf2dmreze	64	8	1	10
546	inf2dmreze	64	8	2	11
547	inf2dmreze	64	8	3	10
548	inf2dmreze	64	8	4	14
549	inf2dmreze	64	8	5	5
550	inf2dmreze	64	8	6	6
551	inf2dmreze	64	8	7	12
552	inf2dmreze	64	8	0	7
553	inf2dmreze	64	8	1	12
554	inf2dmreze	64	8	2	11
555	inf2dmreze	64	8	3	10
556	inf2dmreze	64	8	4	5
557	inf2dmreze	64	8	5	7
558	inf2dmreze	64	8	6	11
559	inf2dmreze	64	8	7	12
560	inf2dmreze	64	8	0	8
561	inf2dmreze	64	8	1	7
562	inf2dmreze	64	8	2	11
563	inf2dmreze	64	8	3	11
564	inf2dmreze	64	8	4	9
565	inf2dmreze	64	8	5	15
566	inf2dmreze	64	8	6	9
567	inf2dmreze	64	8	7	12
568	inf2dmreze	64	8	0	9
569	inf2dmreze	64	8	1	6
570	inf2dmreze	64	8	2	6
571	inf2dmreze	64	8	3	6
572	inf2dmreze	64	8	4	13
573	inf2dmreze	64	8	5	9
574	inf2dmreze	64	8	6	15
575	inf2dmreze	64	8	7	13
576	inf2dmreze	64	8	0	14
577	inf2dmreze	64	8	1	18
578	inf2dmreze	64	8	2	3
579	inf2dmreze	64	8	3	18
580	inf2dmreze	64	8	4	6
581	inf2dmreze	64	8	5	7
582	inf2dmreze	64	8	6	9
583	inf2dmreze	64	8	7	14
584	inf2dmreze	64	8	0	8
585	inf2dmreze	64	8	1	15
586	inf2dmreze	64	8	2	9
587	inf2dmreze	64	8	3	8
588	inf2dmreze	64	8	4	5
589	inf2dmreze	64	8	5	5
590	inf2dmreze	64	8	6	11
591	inf2dmreze	64	8	7	15
592	inf2dmreze	64	8	0	11
593	inf2dmreze	64	8	1	9
594	inf2dmreze	64	8	2	12
595	inf2dmreze	64	8	3	8
596	inf2dmreze	64	8	4	13
597	inf2dmreze	64	8	5	10
598	inf2dmreze	64	8	6	9
599	inf2dmreze	64	8	7	11
600	inf2dmreze	64	8	0	20
601	inf2dmreze	64	8	1	17
602	inf2dmreze	64	8	2	13
603	inf2dmreze	64	8	3	4
604	inf2dmreze	64	8	4	6
605	inf2dmreze	64	8	5	9
606	inf2dmreze	64	8	6	16
607	inf2dmreze	64	8	7	16
608	inf2dmreze	64	8	0	8
609	inf2dmreze	64	8	1	13
610	inf2dmreze	64	8	2	12
611	inf2dmreze	64	8	3	17
612	inf2dmreze	64	8	4	12
613	inf2dmreze	64	8	5	4
614	inf2dmreze	64	8	6	4
615	inf2dmreze	64	8	7	7
616	inf2dmreze	64	8	0	13
617	inf2dmreze	64	8	1	8
618	inf2dmreze	64	8	2	9
619	inf2dmreze	64	8	3	8
620	inf2dmreze	64	8	4	9
621	inf2dmreze	64	8	5	13
622	inf2dmreze	64	8	6	11
623	inf2dmreze	64	8	7	9
624	inf2dmreze	64	8	0	15
625	inf2dmreze	64	8	1	11
626	inf2dmreze	64	8	2	13
627	inf2dmreze	64	8	3	16
628	inf2dmreze	64	8	4	11
629	inf2dmreze	64	8	5	7
630	inf2dmreze	64	8	6	11
631	inf2dmreze	64	8	7	12
632	inf2dmreze	64	8	0	13
633	inf2dmreze	64	8	1	8
634	inf2dmreze	64	8	2	15
635	inf2dmreze	64	8	3	7
636	inf2dmreze	64	8	4	11
637	inf2dmreze	64	8	5	13
638	inf2dmreze	64	8	6	8
639	inf2dmreze	64	8	7	5
640	inf2dmreze	64	8	0	6
641	inf2dmreze	64	8	1	10
642	inf2dmreze	64	8	2	13
643	inf2dmreze	64	8	3	11
644	inf2dmreze	64	8	4	12
645	inf2dmreze	64	8	5	4
646	inf2dmreze	64	8	6	9
647	inf2dmreze	64	8	7	10
648	inf2dmreze	64	8	0	13
649	inf2dmreze	64	8	1	8
650	inf2dmreze	64	8	2	13
