ID	tip_grafa	stevilo_vseh_vozlisc	stevilo_sredisc	V_celica_id_vozlisce	V_celica_moc
0	3dmreze	256	5	0	53
1	3dmreze	256	5	1	43
2	3dmreze	256	5	2	57
3	3dmreze	256	5	3	51
4	3dmreze	256	5	4	55
5	3dmreze	256	10	0	30
6	3dmreze	256	10	1	51
7	3dmreze	256	10	2	14
8	3dmreze	256	10	3	41
9	3dmreze	256	10	4	20
10	3dmreze	256	10	5	19
11	3dmreze	256	10	6	11
12	3dmreze	256	10	7	73
13	3dmreze	256	10	8	33
14	3dmreze	256	10	9	13
15	3dmreze	256	15	0	32
16	3dmreze	256	15	1	15
17	3dmreze	256	15	2	33
18	3dmreze	256	15	3	17
19	3dmreze	256	15	4	12
20	3dmreze	256	15	5	41
21	3dmreze	256	15	6	17
22	3dmreze	256	15	7	12
23	3dmreze	256	15	8	24
24	3dmreze	256	15	9	12
25	3dmreze	256	15	10	59
26	3dmreze	256	15	11	11
27	3dmreze	256	15	12	8
28	3dmreze	256	15	13	17
29	3dmreze	256	15	14	25
30	3dmreze	256	20	0	13
31	3dmreze	256	20	1	19
32	3dmreze	256	20	2	19
33	3dmreze	256	20	3	12
34	3dmreze	256	20	4	17
35	3dmreze	256	20	5	19
36	3dmreze	256	20	6	14
37	3dmreze	256	20	7	15
38	3dmreze	256	20	8	16
39	3dmreze	256	20	9	13
40	3dmreze	256	20	10	24
41	3dmreze	256	20	11	10
42	3dmreze	256	20	12	19
43	3dmreze	256	20	13	14
44	3dmreze	256	20	14	11
45	3dmreze	256	20	15	23
46	3dmreze	256	20	16	18
47	3dmreze	256	20	17	29
48	3dmreze	256	20	18	13
49	3dmreze	256	20	19	15
50	3dmreze	256	25	0	12
51	3dmreze	256	25	1	19
52	3dmreze	256	25	2	16
53	3dmreze	256	25	3	15
54	3dmreze	256	25	4	4
55	3dmreze	256	25	5	7
56	3dmreze	256	25	6	7
57	3dmreze	256	25	7	22
58	3dmreze	256	25	8	5
59	3dmreze	256	25	9	6
60	3dmreze	256	25	10	25
61	3dmreze	256	25	11	6
62	3dmreze	256	25	12	15
63	3dmreze	256	25	13	11
64	3dmreze	256	25	14	9
65	3dmreze	256	25	15	23
66	3dmreze	256	25	16	4
67	3dmreze	256	25	17	9
68	3dmreze	256	25	18	15
69	3dmreze	256	25	19	15
70	3dmreze	256	25	20	15
71	3dmreze	256	25	21	39
72	3dmreze	256	25	22	10
73	3dmreze	256	25	23	10
74	3dmreze	256	25	24	27
75	3dmreze	256	30	0	10
76	3dmreze	256	30	1	11
77	3dmreze	256	30	2	17
78	3dmreze	256	30	3	11
79	3dmreze	256	30	4	13
80	3dmreze	256	30	5	11
81	3dmreze	256	30	6	20
82	3dmreze	256	30	7	9
83	3dmreze	256	30	8	13
84	3dmreze	256	30	9	12
85	3dmreze	256	30	10	10
86	3dmreze	256	30	11	6
87	3dmreze	256	30	12	12
88	3dmreze	256	30	13	16
89	3dmreze	256	30	14	12
90	3dmreze	256	30	15	12
91	3dmreze	256	30	16	11
92	3dmreze	256	30	17	10
93	3dmreze	256	30	18	9
94	3dmreze	256	30	19	16
95	3dmreze	256	30	20	5
96	3dmreze	256	30	21	11
97	3dmreze	256	30	22	10
98	3dmreze	256	30	23	18
99	3dmreze	256	30	24	9
100	3dmreze	256	30	25	7
101	3dmreze	256	30	26	9
102	3dmreze	256	30	27	10
103	3dmreze	256	30	28	13
104	3dmreze	256	30	29	12
105	3dmreze	256	35	0	19
106	3dmreze	256	35	1	8
107	3dmreze	256	35	2	4
108	3dmreze	256	35	3	13
109	3dmreze	256	35	4	11
110	3dmreze	256	35	5	13
111	3dmreze	256	35	6	10
112	3dmreze	256	35	7	18
113	3dmreze	256	35	8	9
114	3dmreze	256	35	9	8
115	3dmreze	256	35	10	7
116	3dmreze	256	35	11	3
117	3dmreze	256	35	12	6
118	3dmreze	256	35	13	6
119	3dmreze	256	35	14	18
120	3dmreze	256	35	15	11
121	3dmreze	256	35	16	13
122	3dmreze	256	35	17	8
123	3dmreze	256	35	18	4
124	3dmreze	256	35	19	16
125	3dmreze	256	35	20	8
126	3dmreze	256	35	21	8
127	3dmreze	256	35	22	9
128	3dmreze	256	35	23	4
129	3dmreze	256	35	24	9
130	3dmreze	256	35	25	11
131	3dmreze	256	35	26	13
132	3dmreze	256	35	27	14
133	3dmreze	256	35	28	10
134	3dmreze	256	35	29	13
135	3dmreze	256	35	30	8
136	3dmreze	256	35	31	6
137	3dmreze	256	35	32	7
138	3dmreze	256	35	33	14
139	3dmreze	256	35	34	13
140	3dmreze	256	40	0	6
141	3dmreze	256	40	1	8
142	3dmreze	256	40	2	4
143	3dmreze	256	40	3	5
144	3dmreze	256	40	4	8
145	3dmreze	256	40	5	2
146	3dmreze	256	40	6	7
147	3dmreze	256	40	7	7
148	3dmreze	256	40	8	12
149	3dmreze	256	40	9	2
150	3dmreze	256	40	10	2
151	3dmreze	256	40	11	12
152	3dmreze	256	40	12	19
153	3dmreze	256	40	13	11
154	3dmreze	256	40	14	19
155	3dmreze	256	40	15	9
156	3dmreze	256	40	16	10
157	3dmreze	256	40	17	4
158	3dmreze	256	40	18	8
159	3dmreze	256	40	19	7
160	3dmreze	256	40	20	10
161	3dmreze	256	40	21	3
162	3dmreze	256	40	22	10
163	3dmreze	256	40	23	6
164	3dmreze	256	40	24	12
165	3dmreze	256	40	25	8
166	3dmreze	256	40	26	6
167	3dmreze	256	40	27	13
168	3dmreze	256	40	28	8
169	3dmreze	256	40	29	2
170	3dmreze	256	40	30	4
171	3dmreze	256	40	31	4
172	3dmreze	256	40	32	8
173	3dmreze	256	40	33	9
174	3dmreze	256	40	34	8
175	3dmreze	256	40	35	17
176	3dmreze	256	40	36	4
177	3dmreze	256	40	37	10
178	3dmreze	256	40	38	14
179	3dmreze	256	40	39	7
180	3dmreze	256	45	0	8
181	3dmreze	256	45	1	12
182	3dmreze	256	45	2	2
183	3dmreze	256	45	3	4
184	3dmreze	256	45	4	15
185	3dmreze	256	45	5	8
186	3dmreze	256	45	6	6
187	3dmreze	256	45	7	6
188	3dmreze	256	45	8	8
189	3dmreze	256	45	9	9
190	3dmreze	256	45	10	10
191	3dmreze	256	45	11	5
192	3dmreze	256	45	12	5
193	3dmreze	256	45	13	11
194	3dmreze	256	45	14	7
195	3dmreze	256	45	15	7
196	3dmreze	256	45	16	2
197	3dmreze	256	45	17	5
198	3dmreze	256	45	18	11
199	3dmreze	256	45	19	1
200	3dmreze	256	45	20	15
201	3dmreze	256	45	21	15
202	3dmreze	256	45	22	4
203	3dmreze	256	45	23	4
204	3dmreze	256	45	24	9
205	3dmreze	256	45	25	3
206	3dmreze	256	45	26	6
207	3dmreze	256	45	27	10
208	3dmreze	256	45	28	6
209	3dmreze	256	45	29	9
210	3dmreze	256	45	30	10
211	3dmreze	256	45	31	13
212	3dmreze	256	45	32	2
213	3dmreze	256	45	33	10
214	3dmreze	256	45	34	3
215	3dmreze	256	45	35	3
216	3dmreze	256	45	36	7
217	3dmreze	256	45	37	7
218	3dmreze	256	45	38	9
219	3dmreze	256	45	39	11
220	3dmreze	256	45	40	3
221	3dmreze	256	45	41	12
222	3dmreze	256	45	42	8
223	3dmreze	256	45	43	17
224	3dmreze	256	45	44	11
225	3dmreze	256	50	0	6
226	3dmreze	256	50	1	5
227	3dmreze	256	50	2	5
228	3dmreze	256	50	3	4
229	3dmreze	256	50	4	7
230	3dmreze	256	50	5	3
231	3dmreze	256	50	6	11
232	3dmreze	256	50	7	8
233	3dmreze	256	50	8	9
234	3dmreze	256	50	9	2
235	3dmreze	256	50	10	4
236	3dmreze	256	50	11	9
237	3dmreze	256	50	12	4
238	3dmreze	256	50	13	2
239	3dmreze	256	50	14	11
240	3dmreze	256	50	15	2
241	3dmreze	256	50	16	3
242	3dmreze	256	50	17	5
243	3dmreze	256	50	18	7
244	3dmreze	256	50	19	5
245	3dmreze	256	50	20	10
246	3dmreze	256	50	21	7
247	3dmreze	256	50	22	13
248	3dmreze	256	50	23	5
249	3dmreze	256	50	24	6
250	3dmreze	256	50	25	4
251	3dmreze	256	50	26	7
252	3dmreze	256	50	27	16
253	3dmreze	256	50	28	6
254	3dmreze	256	50	29	6
255	3dmreze	256	50	30	4
256	3dmreze	256	50	31	14
257	3dmreze	256	50	32	9
258	3dmreze	256	50	33	9
259	3dmreze	256	50	34	7
260	3dmreze	256	50	35	9
261	3dmreze	256	50	36	11
262	3dmreze	256	50	37	10
263	3dmreze	256	50	38	5
264	3dmreze	256	50	39	5
265	3dmreze	256	50	40	6
266	3dmreze	256	50	41	1
267	3dmreze	256	50	42	5
268	3dmreze	256	50	43	6
269	3dmreze	256	50	44	2
270	3dmreze	256	50	45	5
271	3dmreze	256	50	46	8
272	3dmreze	256	50	47	8
273	3dmreze	256	50	48	4
274	3dmreze	256	50	49	6
275	3dmreze	256	55	0	8
276	3dmreze	256	55	1	7
277	3dmreze	256	55	2	6
278	3dmreze	256	55	3	8
279	3dmreze	256	55	4	8
280	3dmreze	256	55	5	4
281	3dmreze	256	55	6	1
282	3dmreze	256	55	7	7
283	3dmreze	256	55	8	11
284	3dmreze	256	55	9	8
285	3dmreze	256	55	10	5
286	3dmreze	256	55	11	5
287	3dmreze	256	55	12	5
288	3dmreze	256	55	13	3
289	3dmreze	256	55	14	5
290	3dmreze	256	55	15	4
291	3dmreze	256	55	16	6
292	3dmreze	256	55	17	3
293	3dmreze	256	55	18	6
294	3dmreze	256	55	19	7
295	3dmreze	256	55	20	9
296	3dmreze	256	55	21	10
297	3dmreze	256	55	22	7
298	3dmreze	256	55	23	8
299	3dmreze	256	55	24	9
300	3dmreze	256	55	25	3
301	3dmreze	256	55	26	5
302	3dmreze	256	55	27	11
303	3dmreze	256	55	28	5
304	3dmreze	256	55	29	7
305	3dmreze	256	55	30	5
306	3dmreze	256	55	31	5
307	3dmreze	256	55	32	8
308	3dmreze	256	55	33	7
309	3dmreze	256	55	34	5
310	3dmreze	256	55	35	7
311	3dmreze	256	55	36	3
312	3dmreze	256	55	37	7
313	3dmreze	256	55	38	7
314	3dmreze	256	55	39	9
315	3dmreze	256	55	40	5
316	3dmreze	256	55	41	6
317	3dmreze	256	55	42	4
318	3dmreze	256	55	43	7
319	3dmreze	256	55	44	3
320	3dmreze	256	55	45	3
321	3dmreze	256	55	46	8
322	3dmreze	256	55	47	4
323	3dmreze	256	55	48	6
324	3dmreze	256	55	49	6
325	3dmreze	256	55	50	4
326	3dmreze	256	55	51	2
327	3dmreze	256	55	52	7
328	3dmreze	256	55	53	7
329	3dmreze	256	55	54	5
330	3dmreze	256	60	0	2
331	3dmreze	256	60	1	4
332	3dmreze	256	60	2	4
333	3dmreze	256	60	3	4
334	3dmreze	256	60	4	5
335	3dmreze	256	60	5	4
336	3dmreze	256	60	6	8
337	3dmreze	256	60	7	4
338	3dmreze	256	60	8	8
339	3dmreze	256	60	9	4
340	3dmreze	256	60	10	3
341	3dmreze	256	60	11	3
342	3dmreze	256	60	12	3
343	3dmreze	256	60	13	9
344	3dmreze	256	60	14	2
345	3dmreze	256	60	15	4
346	3dmreze	256	60	16	6
347	3dmreze	256	60	17	6
348	3dmreze	256	60	18	6
349	3dmreze	256	60	19	8
350	3dmreze	256	60	20	14
351	3dmreze	256	60	21	3
352	3dmreze	256	60	22	1
353	3dmreze	256	60	23	1
354	3dmreze	256	60	24	4
355	3dmreze	256	60	25	7
356	3dmreze	256	60	26	6
357	3dmreze	256	60	27	6
358	3dmreze	256	60	28	3
359	3dmreze	256	60	29	4
360	3dmreze	256	60	30	4
361	3dmreze	256	60	31	5
362	3dmreze	256	60	32	10
363	3dmreze	256	60	33	4
364	3dmreze	256	60	34	6
365	3dmreze	256	60	35	5
366	3dmreze	256	60	36	4
367	3dmreze	256	60	37	3
368	3dmreze	256	60	38	4
369	3dmreze	256	60	39	3
370	3dmreze	256	60	40	3
371	3dmreze	256	60	41	4
372	3dmreze	256	60	42	6
373	3dmreze	256	60	43	9
374	3dmreze	256	60	44	5
375	3dmreze	256	60	45	5
376	3dmreze	256	60	46	5
377	3dmreze	256	60	47	2
378	3dmreze	256	60	48	7
379	3dmreze	256	60	49	5
380	3dmreze	256	60	50	3
381	3dmreze	256	60	51	7
382	3dmreze	256	60	52	6
383	3dmreze	256	60	53	3
384	3dmreze	256	60	54	5
385	3dmreze	256	60	55	3
386	3dmreze	256	60	56	5
387	3dmreze	256	60	57	8
388	3dmreze	256	60	58	4
389	3dmreze	256	60	59	4
390	3dmreze	256	65	0	4
391	3dmreze	256	65	1	5
392	3dmreze	256	65	2	8
393	3dmreze	256	65	3	5
394	3dmreze	256	65	4	3
395	3dmreze	256	65	5	5
396	3dmreze	256	65	6	5
397	3dmreze	256	65	7	6
398	3dmreze	256	65	8	6
399	3dmreze	256	65	9	5
400	3dmreze	256	65	10	3
401	3dmreze	256	65	11	2
402	3dmreze	256	65	12	1
403	3dmreze	256	65	13	2
404	3dmreze	256	65	14	4
405	3dmreze	256	65	15	4
406	3dmreze	256	65	16	3
407	3dmreze	256	65	17	8
408	3dmreze	256	65	18	7
409	3dmreze	256	65	19	3
410	3dmreze	256	65	20	6
411	3dmreze	256	65	21	4
412	3dmreze	256	65	22	3
413	3dmreze	256	65	23	7
414	3dmreze	256	65	24	8
415	3dmreze	256	65	25	5
416	3dmreze	256	65	26	3
417	3dmreze	256	65	27	2
418	3dmreze	256	65	28	6
419	3dmreze	256	65	29	8
420	3dmreze	256	65	30	4
421	3dmreze	256	65	31	6
422	3dmreze	256	65	32	6
423	3dmreze	256	65	33	10
424	3dmreze	256	65	34	5
425	3dmreze	256	65	35	6
426	3dmreze	256	65	36	4
427	3dmreze	256	65	37	5
428	3dmreze	256	65	38	7
429	3dmreze	256	65	39	4
430	3dmreze	256	65	40	6
431	3dmreze	256	65	41	5
432	3dmreze	256	65	42	6
433	3dmreze	256	65	43	7
434	3dmreze	256	65	44	7
435	3dmreze	256	65	45	5
436	3dmreze	256	65	46	8
437	3dmreze	256	65	47	5
438	3dmreze	256	65	48	4
439	3dmreze	256	65	49	7
440	3dmreze	256	65	50	10
441	3dmreze	256	65	51	4
442	3dmreze	256	65	52	3
443	3dmreze	256	65	53	5
444	3dmreze	256	65	54	6
445	3dmreze	256	65	55	9
446	3dmreze	256	65	56	3
447	3dmreze	256	65	57	4
448	3dmreze	256	65	58	6
449	3dmreze	256	65	59	5
450	3dmreze	256	65	60	8
451	3dmreze	256	65	61	6
452	3dmreze	256	65	62	1
453	3dmreze	256	65	63	7
454	3dmreze	256	65	64	7
455	3dmreze	256	70	0	3
456	3dmreze	256	70	1	8
457	3dmreze	256	70	2	4
458	3dmreze	256	70	3	2
459	3dmreze	256	70	4	3
460	3dmreze	256	70	5	5
461	3dmreze	256	70	6	4
462	3dmreze	256	70	7	10
463	3dmreze	256	70	8	4
464	3dmreze	256	70	9	4
465	3dmreze	256	70	10	3
466	3dmreze	256	70	11	7
467	3dmreze	256	70	12	10
468	3dmreze	256	70	13	5
469	3dmreze	256	70	14	8
470	3dmreze	256	70	15	4
471	3dmreze	256	70	16	3
472	3dmreze	256	70	17	4
473	3dmreze	256	70	18	7
474	3dmreze	256	70	19	1
475	3dmreze	256	70	20	2
476	3dmreze	256	70	21	4
477	3dmreze	256	70	22	5
478	3dmreze	256	70	23	1
479	3dmreze	256	70	24	8
480	3dmreze	256	70	25	10
481	3dmreze	256	70	26	1
482	3dmreze	256	70	27	6
483	3dmreze	256	70	28	8
484	3dmreze	256	70	29	9
485	3dmreze	256	70	30	6
486	3dmreze	256	70	31	3
487	3dmreze	256	70	32	4
488	3dmreze	256	70	33	3
489	3dmreze	256	70	34	7
490	3dmreze	256	70	35	3
491	3dmreze	256	70	36	2
492	3dmreze	256	70	37	6
493	3dmreze	256	70	38	9
494	3dmreze	256	70	39	12
495	3dmreze	256	70	40	3
496	3dmreze	256	70	41	5
497	3dmreze	256	70	42	7
498	3dmreze	256	70	43	1
499	3dmreze	256	70	44	7
500	3dmreze	256	70	45	1
501	3dmreze	256	70	46	7
502	3dmreze	256	70	47	10
503	3dmreze	256	70	48	5
504	3dmreze	256	70	49	4
505	3dmreze	256	70	50	8
506	3dmreze	256	70	51	3
507	3dmreze	256	70	52	3
508	3dmreze	256	70	53	4
509	3dmreze	256	70	54	6
510	3dmreze	256	70	55	3
511	3dmreze	256	70	56	6
512	3dmreze	256	70	57	3
513	3dmreze	256	70	58	3
514	3dmreze	256	70	59	2
515	3dmreze	256	70	60	4
516	3dmreze	256	70	61	9
517	3dmreze	256	70	62	4
518	3dmreze	256	70	63	5
519	3dmreze	256	70	64	2
520	3dmreze	256	70	65	4
521	3dmreze	256	70	66	5
522	3dmreze	256	70	67	5
523	3dmreze	256	70	68	1
524	3dmreze	256	70	69	9
525	3dmreze	256	75	0	10
526	3dmreze	256	75	1	3
527	3dmreze	256	75	2	2
528	3dmreze	256	75	3	4
529	3dmreze	256	75	4	7
530	3dmreze	256	75	5	11
531	3dmreze	256	75	6	2
532	3dmreze	256	75	7	6
533	3dmreze	256	75	8	2
534	3dmreze	256	75	9	11
535	3dmreze	256	75	10	3
536	3dmreze	256	75	11	3
537	3dmreze	256	75	12	3
538	3dmreze	256	75	13	2
539	3dmreze	256	75	14	5
540	3dmreze	256	75	15	3
541	3dmreze	256	75	16	7
542	3dmreze	256	75	17	3
543	3dmreze	256	75	18	3
544	3dmreze	256	75	19	3
545	3dmreze	256	75	20	5
546	3dmreze	256	75	21	5
547	3dmreze	256	75	22	3
548	3dmreze	256	75	23	2
549	3dmreze	256	75	24	7
550	3dmreze	256	75	25	3
551	3dmreze	256	75	26	3
552	3dmreze	256	75	27	4
553	3dmreze	256	75	28	4
554	3dmreze	256	75	29	4
555	3dmreze	256	75	30	3
556	3dmreze	256	75	31	3
557	3dmreze	256	75	32	6
558	3dmreze	256	75	33	10
559	3dmreze	256	75	34	4
560	3dmreze	256	75	35	3
561	3dmreze	256	75	36	6
562	3dmreze	256	75	37	3
563	3dmreze	256	75	38	2
564	3dmreze	256	75	39	3
565	3dmreze	256	75	40	3
566	3dmreze	256	75	41	4
567	3dmreze	256	75	42	3
568	3dmreze	256	75	43	10
569	3dmreze	256	75	44	5
570	3dmreze	256	75	45	3
571	3dmreze	256	75	46	5
572	3dmreze	256	75	47	2
573	3dmreze	256	75	48	3
574	3dmreze	256	75	49	3
575	3dmreze	256	75	50	8
576	3dmreze	256	75	51	1
577	3dmreze	256	75	52	1
578	3dmreze	256	75	53	3
579	3dmreze	256	75	54	3
580	3dmreze	256	75	55	3
581	3dmreze	256	75	56	4
582	3dmreze	256	75	57	3
583	3dmreze	256	75	58	6
584	3dmreze	256	75	59	7
585	3dmreze	256	75	60	5
586	3dmreze	256	75	61	13
587	3dmreze	256	75	62	3
588	3dmreze	256	75	63	3
589	3dmreze	256	75	64	11
590	3dmreze	256	75	65	3
591	3dmreze	256	75	66	4
592	3dmreze	256	75	67	5
593	3dmreze	256	75	68	3
594	3dmreze	256	75	69	4
595	3dmreze	256	75	70	10
596	3dmreze	256	75	71	3
597	3dmreze	256	75	72	3
598	3dmreze	256	75	73	4
599	3dmreze	256	75	74	2
600	3dmreze	256	80	0	4
601	3dmreze	256	80	1	5
602	3dmreze	256	80	2	2
603	3dmreze	256	80	3	5
604	3dmreze	256	80	4	2
605	3dmreze	256	80	5	4
606	3dmreze	256	80	6	5
607	3dmreze	256	80	7	6
608	3dmreze	256	80	8	4
609	3dmreze	256	80	9	3
610	3dmreze	256	80	10	8
611	3dmreze	256	80	11	7
612	3dmreze	256	80	12	3
613	3dmreze	256	80	13	3
614	3dmreze	256	80	14	1
615	3dmreze	256	80	15	3
616	3dmreze	256	80	16	4
617	3dmreze	256	80	17	5
618	3dmreze	256	80	18	5
619	3dmreze	256	80	19	4
620	3dmreze	256	80	20	1
621	3dmreze	256	80	21	6
622	3dmreze	256	80	22	2
623	3dmreze	256	80	23	2
624	3dmreze	256	80	24	8
625	3dmreze	256	80	25	8
626	3dmreze	256	80	26	3
627	3dmreze	256	80	27	4
628	3dmreze	256	80	28	6
629	3dmreze	256	80	29	3
630	3dmreze	256	80	30	2
631	3dmreze	256	80	31	2
632	3dmreze	256	80	32	4
633	3dmreze	256	80	33	4
634	3dmreze	256	80	34	10
635	3dmreze	256	80	35	3
636	3dmreze	256	80	36	2
637	3dmreze	256	80	37	3
638	3dmreze	256	80	38	8
639	3dmreze	256	80	39	6
640	3dmreze	256	80	40	5
641	3dmreze	256	80	41	6
642	3dmreze	256	80	42	9
643	3dmreze	256	80	43	5
644	3dmreze	256	80	44	3
645	3dmreze	256	80	45	4
646	3dmreze	256	80	46	5
647	3dmreze	256	80	47	4
648	3dmreze	256	80	48	4
649	3dmreze	256	80	49	6
650	3dmreze	256	80	50	4
651	3dmreze	256	80	51	2
652	3dmreze	256	80	52	3
653	3dmreze	256	80	53	6
654	3dmreze	256	80	54	4
655	3dmreze	256	80	55	5
656	3dmreze	256	80	56	4
657	3dmreze	256	80	57	8
658	3dmreze	256	80	58	3
659	3dmreze	256	80	59	3
660	3dmreze	256	80	60	3
661	3dmreze	256	80	61	3
662	3dmreze	256	80	62	1
663	3dmreze	256	80	63	4
664	3dmreze	256	80	64	9
665	3dmreze	256	80	65	4
666	3dmreze	256	80	66	4
667	3dmreze	256	80	67	3
668	3dmreze	256	80	68	1
669	3dmreze	256	80	69	4
670	3dmreze	256	80	70	1
671	3dmreze	256	80	71	3
672	3dmreze	256	80	72	3
673	3dmreze	256	80	73	6
674	3dmreze	256	80	74	3
675	3dmreze	256	80	75	5
676	3dmreze	256	80	76	4
677	3dmreze	256	80	77	4
678	3dmreze	256	80	78	2
679	3dmreze	256	80	79	5
