ID	tip_grafa	stevilo_vseh_vozlisc	stevilo_sredisc	V_celica_id_vozlisce	V_celica_moc
0	binomski	30	2	0	15
1	binomski	30	2	1	14
2	binomski	30	3	0	2
3	binomski	30	3	1	1
4	binomski	30	3	2	24
5	binomski	30	4	0	20
6	binomski	30	4	1	2
7	binomski	30	4	2	1
8	binomski	30	4	3	21
9	binomski	30	5	0	6
10	binomski	30	5	1	8
11	binomski	30	5	2	6
12	binomski	30	5	3	6
13	binomski	30	5	4	2
14	binomski	30	6	0	3
15	binomski	30	6	1	3
16	binomski	30	6	2	4
17	binomski	30	6	3	5
18	binomski	30	6	4	7
19	binomski	30	6	5	9
20	binomski	30	7	0	15
21	binomski	30	7	1	3
22	binomski	30	7	2	1
23	binomski	30	7	3	3
24	binomski	30	7	4	3
25	binomski	30	7	5	1
26	binomski	30	7	6	5
27	binomski	30	8	0	7
28	binomski	30	8	1	13
29	binomski	30	8	2	1
30	binomski	30	8	3	2
31	binomski	30	8	4	0
32	binomski	30	8	5	2
33	binomski	30	8	6	1
34	binomski	30	8	7	0
35	binomski	30	9	0	6
36	binomski	30	9	1	11
37	binomski	30	9	2	0
38	binomski	30	9	3	2
39	binomski	30	9	4	0
40	binomski	30	9	5	0
41	binomski	30	9	6	4
42	binomski	30	9	7	5
43	binomski	30	9	8	0
44	binomski	30	10	0	1
45	binomski	30	10	1	4
46	binomski	30	10	2	5
47	binomski	30	10	3	0
48	binomski	30	10	4	2
49	binomski	30	10	5	5
50	binomski	30	10	6	2
51	binomski	30	10	7	2
52	binomski	30	10	8	2
53	binomski	30	10	9	0
54	binomski	30	11	0	0
55	binomski	30	11	1	6
56	binomski	30	11	2	11
57	binomski	30	11	3	1
58	binomski	30	11	4	0
59	binomski	30	11	5	0
60	binomski	30	11	6	2
61	binomski	30	11	7	2
62	binomski	30	11	8	2
63	binomski	30	11	9	0
64	binomski	30	11	10	0
65	binomski	30	12	0	7
66	binomski	30	12	1	2
67	binomski	30	12	2	5
68	binomski	30	12	3	2
69	binomski	30	12	4	0
70	binomski	30	12	5	1
71	binomski	30	12	6	1
72	binomski	30	12	7	0
73	binomski	30	12	8	1
74	binomski	30	12	9	0
75	binomski	30	12	10	2
76	binomski	30	12	11	4
77	binomski	30	13	0	0
78	binomski	30	13	1	3
79	binomski	30	13	2	2
80	binomski	30	13	3	1
81	binomski	30	13	4	1
82	binomski	30	13	5	1
83	binomski	30	13	6	0
84	binomski	30	13	7	3
85	binomski	30	13	8	0
86	binomski	30	13	9	2
87	binomski	30	13	10	0
