ID	tip_grafa	stevilo_vseh_vozlisc	stevilo_sredisc	V_celica_id_vozlisce	V_celica_moc
0	2dmreza	8	1	0	7
1	2dmreza	8	1	0	7
2	2dmreza	8	1	0	8
3	2dmreza	8	2	0	4
4	2dmreza	8	2	1	2
5	2dmreza	8	1	0	7
6	2dmreza	8	2	0	2
7	2dmreza	8	2	1	4
8	2dmreza	8	1	0	7
9	2dmreza	8	2	0	1
10	2dmreza	8	2	1	5
11	2dmreza	8	3	0	5
12	2dmreza	8	3	1	0
13	2dmreza	8	3	2	3
14	2dmreza	8	1	0	7
15	2dmreza	8	2	0	5
16	2dmreza	8	2	1	2
17	2dmreza	8	3	0	3
18	2dmreza	8	3	1	3
19	2dmreza	8	3	2	3
20	2dmreza	8	1	0	7
21	2dmreza	8	2	0	1
22	2dmreza	8	2	1	6
23	2dmreza	8	3	0	1
24	2dmreza	8	3	1	3
25	2dmreza	8	3	2	1
26	2dmreza	8	4	0	3
27	2dmreza	8	4	1	0
28	2dmreza	8	4	2	3
29	2dmreza	8	4	3	1
