ID	tip_grafa	stevilo_vseh_vozlisc	stevilo_sredisc	V_celica_id_vozlisce	V_celica_moc
0	binomski	8	1	0	7
1	binomski	8	1	0	7
2	binomski	8	2	0	5
3	binomski	8	2	1	5
4	binomski	8	1	0	7
5	binomski	8	2	0	3
6	binomski	8	2	1	3
7	binomski	8	3	0	3
8	binomski	8	3	1	1
9	binomski	8	3	2	3
10	binomski	8	1	0	7
11	binomski	8	2	0	3
12	binomski	8	2	1	3
13	binomski	8	3	0	2
14	binomski	8	3	1	2
15	binomski	8	3	2	2
16	binomski	8	4	0	2
17	binomski	8	4	1	2
18	binomski	8	4	2	1
19	binomski	8	4	3	2
20	binomski	8	1	0	7
21	binomski	8	2	0	4
22	binomski	8	2	1	4
23	binomski	8	3	0	1
24	binomski	8	3	1	2
25	binomski	8	3	2	3
26	binomski	8	4	0	2
27	binomski	8	4	1	2
28	binomski	8	4	2	3
29	binomski	8	4	3	3
30	binomski	8	5	0	1
31	binomski	8	5	1	1
32	binomski	8	5	2	0
33	binomski	8	5	3	2
34	binomski	8	5	4	2
35	binomski	8	1	0	7
36	binomski	8	2	0	3
37	binomski	8	2	1	3
38	binomski	8	3	0	1
39	binomski	8	3	1	3
40	binomski	8	3	2	3
41	binomski	8	4	0	2
42	binomski	8	4	1	1
43	binomski	8	4	2	2
44	binomski	8	4	3	0
45	binomski	8	5	0	2
46	binomski	8	5	1	0
47	binomski	8	5	2	0
48	binomski	8	5	3	0
49	binomski	8	5	4	3
50	binomski	8	6	0	0
51	binomski	8	6	1	1
52	binomski	8	6	2	2
53	binomski	8	6	3	2
54	binomski	8	6	4	0
55	binomski	8	6	5	0
