ID	tip_grafa	stevilo_vseh_vozlisc	stevilo_sredisc	V_celica_id_vozlisce	V_celica_moc
0	binomski	30	1	0	29
1	binomski	30	1	0	29
2	binomski	30	1	0	29
3	binomski	30	2	0	5
4	binomski	30	2	1	24
5	binomski	30	1	0	29
6	binomski	30	2	0	1
7	binomski	30	2	1	28
8	binomski	30	1	0	29
9	binomski	30	2	0	14
10	binomski	30	2	1	22
11	binomski	30	3	0	19
12	binomski	30	3	1	6
13	binomski	30	3	2	14
14	binomski	30	1	0	29
15	binomski	30	2	0	6
16	binomski	30	2	1	22
17	binomski	30	3	0	0
18	binomski	30	3	1	5
19	binomski	30	3	2	22
20	binomski	30	1	0	29
21	binomski	30	2	0	15
22	binomski	30	2	1	14
23	binomski	30	3	0	12
24	binomski	30	3	1	12
25	binomski	30	3	2	15
26	binomski	30	4	0	6
27	binomski	30	4	1	15
28	binomski	30	4	2	3
29	binomski	30	4	3	3
30	binomski	30	1	0	29
31	binomski	30	2	0	22
32	binomski	30	2	1	22
33	binomski	30	3	0	14
34	binomski	30	3	1	11
35	binomski	30	3	2	2
36	binomski	30	4	0	4
37	binomski	30	4	1	4
38	binomski	30	4	2	6
39	binomski	30	4	3	16
40	binomski	30	1	0	29
41	binomski	30	2	0	0
42	binomski	30	2	1	28
43	binomski	30	3	0	11
44	binomski	30	3	1	13
45	binomski	30	3	2	15
46	binomski	30	4	0	6
47	binomski	30	4	1	8
48	binomski	30	4	2	4
49	binomski	30	4	3	15
50	binomski	30	5	0	8
51	binomski	30	5	1	5
52	binomski	30	5	2	3
53	binomski	30	5	3	6
54	binomski	30	5	4	6
55	binomski	30	1	0	29
56	binomski	30	2	0	26
57	binomski	30	2	1	2
58	binomski	30	3	0	15
59	binomski	30	3	1	7
60	binomski	30	3	2	7
61	binomski	30	4	0	4
62	binomski	30	4	1	11
63	binomski	30	4	2	4
64	binomski	30	4	3	15
65	binomski	30	5	0	7
66	binomski	30	5	1	11
67	binomski	30	5	2	11
68	binomski	30	5	3	7
69	binomski	30	5	4	0
70	binomski	30	2	0	14
71	binomski	30	2	1	22
72	binomski	30	3	0	11
73	binomski	30	3	1	14
74	binomski	30	3	2	11
75	binomski	30	4	0	4
76	binomski	30	4	1	2
77	binomski	30	4	2	15
78	binomski	30	4	3	5
79	binomski	30	5	0	7
80	binomski	30	5	1	9
81	binomski	30	5	2	2
82	binomski	30	5	3	5
83	binomski	30	5	4	5
84	binomski	30	6	0	5
85	binomski	30	6	1	2
86	binomski	30	6	2	6
87	binomski	30	6	3	14
88	binomski	30	6	4	0
89	binomski	30	6	5	2
90	binomski	30	2	0	26
91	binomski	30	2	1	6
92	binomski	30	3	0	6
93	binomski	30	3	1	7
94	binomski	30	3	2	16
95	binomski	30	4	0	6
96	binomski	30	4	1	12
97	binomski	30	4	2	12
98	binomski	30	4	3	0
99	binomski	30	5	0	3
100	binomski	30	5	1	0
101	binomski	30	5	2	14
102	binomski	30	5	3	16
103	binomski	30	5	4	0
104	binomski	30	6	0	7
105	binomski	30	6	1	7
106	binomski	30	6	2	0
107	binomski	30	6	3	0
108	binomski	30	6	4	4
109	binomski	30	6	5	12
110	binomski	30	2	0	23
111	binomski	30	2	1	13
112	binomski	30	3	0	20
113	binomski	30	3	1	6
114	binomski	30	3	2	5
115	binomski	30	4	0	8
116	binomski	30	4	1	11
117	binomski	30	4	2	5
118	binomski	30	4	3	6
119	binomski	30	5	0	5
120	binomski	30	5	1	5
121	binomski	30	5	2	8
122	binomski	30	5	3	7
123	binomski	30	5	4	8
124	binomski	30	6	0	5
125	binomski	30	6	1	6
126	binomski	30	6	2	2
127	binomski	30	6	3	7
128	binomski	30	6	4	0
129	binomski	30	6	5	7
130	binomski	30	7	0	0
131	binomski	30	7	1	2
132	binomski	30	7	2	6
133	binomski	30	7	3	7
134	binomski	30	7	4	5
135	binomski	30	7	5	2
136	binomski	30	7	6	5
137	binomski	30	2	0	14
138	binomski	30	2	1	14
139	binomski	30	3	0	8
140	binomski	30	3	1	14
141	binomski	30	3	2	7
142	binomski	30	4	0	2
143	binomski	30	4	1	5
144	binomski	30	4	2	17
145	binomski	30	4	3	2
146	binomski	30	5	0	6
147	binomski	30	5	1	0
148	binomski	30	5	2	11
149	binomski	30	5	3	6
150	binomski	30	5	4	10
151	binomski	30	6	0	7
152	binomski	30	6	1	4
153	binomski	30	6	2	4
154	binomski	30	6	3	2
155	binomski	30	6	4	11
156	binomski	30	6	5	5
157	binomski	30	7	0	5
158	binomski	30	7	1	13
159	binomski	30	7	2	5
160	binomski	30	7	3	4
161	binomski	30	7	4	5
162	binomski	30	7	5	4
163	binomski	30	7	6	11
164	binomski	30	2	0	23
165	binomski	30	2	1	22
166	binomski	30	3	0	0
167	binomski	30	3	1	22
168	binomski	30	3	2	22
169	binomski	30	4	0	5
170	binomski	30	4	1	5
171	binomski	30	4	2	19
172	binomski	30	4	3	0
173	binomski	30	5	0	5
174	binomski	30	5	1	2
175	binomski	30	5	2	14
176	binomski	30	5	3	6
177	binomski	30	5	4	3
178	binomski	30	6	0	11
179	binomski	30	6	1	11
180	binomski	30	6	2	0
181	binomski	30	6	3	0
182	binomski	30	6	4	1
183	binomski	30	6	5	10
184	binomski	30	7	0	10
185	binomski	30	7	1	13
186	binomski	30	7	2	0
187	binomski	30	7	3	0
188	binomski	30	7	4	0
189	binomski	30	7	5	6
190	binomski	30	7	6	6
191	binomski	30	8	0	0
192	binomski	30	8	1	1
193	binomski	30	8	2	1
194	binomski	30	8	3	2
195	binomski	30	8	4	1
196	binomski	30	8	5	6
197	binomski	30	8	6	3
198	binomski	30	8	7	11
199	binomski	30	2	0	6
200	binomski	30	2	1	22
201	binomski	30	3	0	0
202	binomski	30	3	1	12
203	binomski	30	3	2	15
204	binomski	30	4	0	6
205	binomski	30	4	1	6
206	binomski	30	4	2	17
207	binomski	30	4	3	5
208	binomski	30	5	0	14
209	binomski	30	5	1	6
210	binomski	30	5	2	2
211	binomski	30	5	3	1
212	binomski	30	5	4	10
213	binomski	30	6	0	1
214	binomski	30	6	1	6
215	binomski	30	6	2	0
216	binomski	30	6	3	1
217	binomski	30	6	4	8
218	binomski	30	6	5	11
219	binomski	30	7	0	2
220	binomski	30	7	1	5
221	binomski	30	7	2	5
222	binomski	30	7	3	5
223	binomski	30	7	4	6
224	binomski	30	7	5	9
225	binomski	30	7	6	5
226	binomski	30	8	0	5
227	binomski	30	8	1	8
228	binomski	30	8	2	6
229	binomski	30	8	3	0
230	binomski	30	8	4	5
231	binomski	30	8	5	0
232	binomski	30	8	6	2
233	binomski	30	8	7	1
234	binomski	30	2	0	15
235	binomski	30	2	1	14
236	binomski	30	3	0	22
237	binomski	30	3	1	13
238	binomski	30	3	2	13
239	binomski	30	4	0	6
240	binomski	30	4	1	2
241	binomski	30	4	2	4
242	binomski	30	4	3	15
243	binomski	30	5	0	12
244	binomski	30	5	1	2
245	binomski	30	5	2	14
246	binomski	30	5	3	6
247	binomski	30	5	4	12
248	binomski	30	6	0	6
249	binomski	30	6	1	1
250	binomski	30	6	2	2
251	binomski	30	6	3	3
252	binomski	30	6	4	6
253	binomski	30	6	5	7
254	binomski	30	7	0	3
255	binomski	30	7	1	6
256	binomski	30	7	2	7
257	binomski	30	7	3	2
258	binomski	30	7	4	7
259	binomski	30	7	5	2
260	binomski	30	7	6	2
261	binomski	30	8	0	1
262	binomski	30	8	1	0
263	binomski	30	8	2	2
264	binomski	30	8	3	1
265	binomski	30	8	4	10
266	binomski	30	8	5	5
267	binomski	30	8	6	11
268	binomski	30	8	7	8
269	binomski	30	9	0	2
270	binomski	30	9	1	11
271	binomski	30	9	2	2
272	binomski	30	9	3	5
273	binomski	30	9	4	2
274	binomski	30	9	5	1
275	binomski	30	9	6	1
276	binomski	30	9	7	0
277	binomski	30	9	8	6
278	binomski	30	2	0	14
279	binomski	30	2	1	15
280	binomski	30	3	0	2
281	binomski	30	3	1	6
282	binomski	30	3	2	23
283	binomski	30	4	0	6
284	binomski	30	4	1	11
285	binomski	30	4	2	19
286	binomski	30	4	3	11
287	binomski	30	5	0	5
288	binomski	30	5	1	13
289	binomski	30	5	2	2
290	binomski	30	5	3	4
291	binomski	30	5	4	2
292	binomski	30	6	0	4
293	binomski	30	6	1	11
294	binomski	30	6	2	0
295	binomski	30	6	3	2
296	binomski	30	6	4	6
297	binomski	30	6	5	4
298	binomski	30	7	0	0
299	binomski	30	7	1	2
300	binomski	30	7	2	6
301	binomski	30	7	3	5
302	binomski	30	7	4	3
303	binomski	30	7	5	9
304	binomski	30	7	6	6
305	binomski	30	8	0	0
306	binomski	30	8	1	8
307	binomski	30	8	2	0
308	binomski	30	8	3	4
309	binomski	30	8	4	2
310	binomski	30	8	5	4
311	binomski	30	8	6	3
312	binomski	30	8	7	7
313	binomski	30	9	0	6
314	binomski	30	9	1	5
315	binomski	30	9	2	4
316	binomski	30	9	3	2
317	binomski	30	9	4	2
318	binomski	30	9	5	0
319	binomski	30	9	6	5
320	binomski	30	9	7	6
321	binomski	30	9	8	0
322	binomski	30	2	0	15
323	binomski	30	2	1	13
324	binomski	30	3	0	13
325	binomski	30	3	1	15
326	binomski	30	3	2	0
