ID	tip_grafa	stevilo_vseh_vozlisc	stevilo_sredisc	V_celica_id_vozlisce	V_celica_moc
0	cikel	30	1	0	29
1	cikel	30	1	0	29
2	cikel	30	1	0	30
3	cikel	30	2	0	23
4	cikel	30	2	1	13
5	cikel	30	1	0	29
6	cikel	30	2	0	22
7	cikel	30	2	1	24
8	cikel	30	1	0	29
9	cikel	30	2	0	2
10	cikel	30	2	1	26
11	cikel	30	3	0	19
12	cikel	30	3	1	13
13	cikel	30	3	2	6
14	cikel	30	1	0	29
15	cikel	30	2	0	6
16	cikel	30	2	1	26
17	cikel	30	3	0	15
18	cikel	30	3	1	6
19	cikel	30	3	2	10
20	cikel	30	1	0	29
21	cikel	30	2	0	13
22	cikel	30	2	1	15
23	cikel	30	3	0	2
24	cikel	30	3	1	13
25	cikel	30	3	2	21
26	cikel	30	4	0	12
27	cikel	30	4	1	6
28	cikel	30	4	2	6
29	cikel	30	4	3	13
30	cikel	30	1	0	29
31	cikel	30	2	0	26
32	cikel	30	2	1	6
33	cikel	30	3	0	15
34	cikel	30	3	1	6
35	cikel	30	3	2	8
36	cikel	30	4	0	15
37	cikel	30	4	1	5
38	cikel	30	4	2	12
39	cikel	30	4	3	2
40	cikel	30	1	0	29
41	cikel	30	2	0	14
42	cikel	30	2	1	14
43	cikel	30	3	0	22
44	cikel	30	3	1	21
45	cikel	30	3	2	21
46	cikel	30	4	0	11
47	cikel	30	4	1	5
48	cikel	30	4	2	18
49	cikel	30	4	3	6
50	cikel	30	5	0	6
51	cikel	30	5	1	5
52	cikel	30	5	2	6
53	cikel	30	5	3	5
54	cikel	30	5	4	8
55	cikel	30	1	0	29
56	cikel	30	2	0	14
57	cikel	30	2	1	15
58	cikel	30	3	0	17
59	cikel	30	3	1	13
60	cikel	30	3	2	6
61	cikel	30	4	0	6
62	cikel	30	4	1	8
63	cikel	30	4	2	7
64	cikel	30	4	3	6
65	cikel	30	5	0	6
66	cikel	30	5	1	6
67	cikel	30	5	2	7
68	cikel	30	5	3	6
69	cikel	30	5	4	8
70	cikel	30	2	0	15
71	cikel	30	2	1	14
72	cikel	30	3	0	8
73	cikel	30	3	1	13
74	cikel	30	3	2	8
75	cikel	30	4	0	17
76	cikel	30	4	1	6
77	cikel	30	4	2	2
78	cikel	30	4	3	2
79	cikel	30	5	0	2
80	cikel	30	5	1	3
81	cikel	30	5	2	1
82	cikel	30	5	3	14
83	cikel	30	5	4	5
84	cikel	30	6	0	0
85	cikel	30	6	1	5
86	cikel	30	6	2	5
87	cikel	30	6	3	13
88	cikel	30	6	4	6
89	cikel	30	6	5	6
90	cikel	30	2	0	15
91	cikel	30	2	1	14
92	cikel	30	3	0	13
93	cikel	30	3	1	14
94	cikel	30	3	2	13
95	cikel	30	4	0	10
96	cikel	30	4	1	10
97	cikel	30	4	2	8
98	cikel	30	4	3	6
99	cikel	30	5	0	6
100	cikel	30	5	1	2
101	cikel	30	5	2	6
102	cikel	30	5	3	5
103	cikel	30	5	4	6
104	cikel	30	6	0	2
105	cikel	30	6	1	5
106	cikel	30	6	2	10
107	cikel	30	6	3	3
108	cikel	30	6	4	2
109	cikel	30	6	5	11
110	cikel	30	2	0	2
111	cikel	30	2	1	26
112	cikel	30	3	0	8
113	cikel	30	3	1	14
114	cikel	30	3	2	8
115	cikel	30	4	0	0
116	cikel	30	4	1	6
117	cikel	30	4	2	20
118	cikel	30	4	3	4
119	cikel	30	5	0	2
120	cikel	30	5	1	10
121	cikel	30	5	2	12
122	cikel	30	5	3	6
123	cikel	30	5	4	5
124	cikel	30	6	0	5
125	cikel	30	6	1	6
126	cikel	30	6	2	5
127	cikel	30	6	3	2
128	cikel	30	6	4	10
129	cikel	30	6	5	6
130	cikel	30	7	0	14
131	cikel	30	7	1	1
132	cikel	30	7	2	3
133	cikel	30	7	3	0
134	cikel	30	7	4	0
135	cikel	30	7	5	8
136	cikel	30	7	6	1
137	cikel	30	2	0	22
138	cikel	30	2	1	14
139	cikel	30	3	0	14
140	cikel	30	3	1	8
141	cikel	30	3	2	7
142	cikel	30	4	0	6
143	cikel	30	4	1	6
144	cikel	30	4	2	20
145	cikel	30	4	3	6
146	cikel	30	5	0	4
147	cikel	30	5	1	15
148	cikel	30	5	2	5
149	cikel	30	5	3	5
150	cikel	30	5	4	0
151	cikel	30	6	0	6
152	cikel	30	6	1	4
153	cikel	30	6	2	2
154	cikel	30	6	3	4
155	cikel	30	6	4	5
156	cikel	30	6	5	6
157	cikel	30	7	0	2
158	cikel	30	7	1	5
159	cikel	30	7	2	1
160	cikel	30	7	3	6
161	cikel	30	7	4	9
162	cikel	30	7	5	2
163	cikel	30	7	6	1
164	cikel	30	2	0	26
165	cikel	30	2	1	6
166	cikel	30	3	0	16
167	cikel	30	3	1	14
168	cikel	30	3	2	5
169	cikel	30	4	0	6
170	cikel	30	4	1	6
171	cikel	30	4	2	2
172	cikel	30	4	3	15
173	cikel	30	5	0	6
174	cikel	30	5	1	6
175	cikel	30	5	2	4
176	cikel	30	5	3	8
177	cikel	30	5	4	4
178	cikel	30	6	0	2
179	cikel	30	6	1	10
180	cikel	30	6	2	1
181	cikel	30	6	3	0
182	cikel	30	6	4	1
183	cikel	30	6	5	12
184	cikel	30	7	0	8
185	cikel	30	7	1	0
186	cikel	30	7	2	2
187	cikel	30	7	3	5
188	cikel	30	7	4	2
189	cikel	30	7	5	2
190	cikel	30	7	6	10
191	cikel	30	8	0	7
192	cikel	30	8	1	5
193	cikel	30	8	2	2
194	cikel	30	8	3	5
195	cikel	30	8	4	6
196	cikel	30	8	5	1
197	cikel	30	8	6	1
198	cikel	30	8	7	3
199	cikel	30	2	0	14
200	cikel	30	2	1	15
201	cikel	30	3	0	5
202	cikel	30	3	1	24
203	cikel	30	3	2	6
204	cikel	30	4	0	5
205	cikel	30	4	1	13
206	cikel	30	4	2	2
207	cikel	30	4	3	15
208	cikel	30	5	0	8
209	cikel	30	5	1	0
210	cikel	30	5	2	4
211	cikel	30	5	3	13
212	cikel	30	5	4	1
213	cikel	30	6	0	18
214	cikel	30	6	1	6
215	cikel	30	6	2	6
216	cikel	30	6	3	5
217	cikel	30	6	4	6
218	cikel	30	6	5	5
219	cikel	30	7	0	0
220	cikel	30	7	1	7
221	cikel	30	7	2	0
222	cikel	30	7	3	13
223	cikel	30	7	4	0
224	cikel	30	7	5	2
225	cikel	30	7	6	3
226	cikel	30	8	0	3
227	cikel	30	8	1	8
228	cikel	30	8	2	2
229	cikel	30	8	3	1
230	cikel	30	8	4	4
231	cikel	30	8	5	1
232	cikel	30	8	6	7
233	cikel	30	8	7	3
234	cikel	30	2	0	6
235	cikel	30	2	1	22
236	cikel	30	3	0	5
237	cikel	30	3	1	24
238	cikel	30	3	2	6
239	cikel	30	4	0	3
240	cikel	30	4	1	3
241	cikel	30	4	2	21
242	cikel	30	4	3	2
243	cikel	30	5	0	6
244	cikel	30	5	1	1
245	cikel	30	5	2	15
246	cikel	30	5	3	6
247	cikel	30	5	4	2
248	cikel	30	6	0	6
249	cikel	30	6	1	0
250	cikel	30	6	2	9
251	cikel	30	6	3	9
252	cikel	30	6	4	2
253	cikel	30	6	5	2
254	cikel	30	7	0	8
255	cikel	30	7	1	2
