ID	tip_grafa	stevilo_vseh_vozlisc	stevilo_sredisc	V_celica_id_vozlisce	V_celica_moc
0	cikli	8	1	0	7
1	cikli	8	1	0	7
2	cikli	8	1	0	7
3	cikli	8	2	0	7
4	cikli	8	2	1	1
5	cikli	8	1	0	7
6	cikli	8	2	0	3
7	cikli	8	2	1	5
8	cikli	8	1	0	7
9	cikli	8	2	0	6
10	cikli	8	2	1	6
11	cikli	8	3	0	2
12	cikli	8	3	1	2
13	cikli	8	3	2	1
14	cikli	8	1	0	7
15	cikli	8	2	0	6
16	cikli	8	2	1	0
17	cikli	8	3	0	3
18	cikli	8	3	1	1
19	cikli	8	3	2	2
20	cikli	8	1	0	7
21	cikli	8	2	0	0
22	cikli	8	2	1	6
23	cikli	8	3	0	1
24	cikli	8	3	1	6
25	cikli	8	3	2	1
26	cikli	8	4	0	0
27	cikli	8	4	1	2
28	cikli	8	4	2	0
29	cikli	8	4	3	3
